OID,RouteId,BeginPoint,EndPoint,LANE_WIDTHVn,LANE_WIDTHVt,LANE_WIDTHVd,LANE_WIDTHComments,Shape_Length
-1,1000100000100INC,317.991800000000012,319.968000000000018,12.000000000000000,,,GA0550027-01,0.030748263493907
-1,1095200070001INC,0.547700000000000,0.889000000000000,10.000000000000000,,,GA0950458-01,0.005786363399280
-1,1205200070703INC,0.298200000000000,0.357700000000000,10.000000000000000,,,GA2050335-01,0.001004811313642
-1,1051200056200INC,0.000000000000000,0.344700000000000,10.000000000000000,,,GA0510146-01,0.005052171219265
-1,1000100024700INC,25.614100000000001,26.925599999999999,12.000000000000000,,,GA1530189-01,0.019584074889131
-1,11531000011COINC,0.831300000000000,1.667700000000000,10.000000000000000,,,GA1530227-01,0.013997011130388
-1,1015200079503INC,0.180400000000000,0.320000000000000,10.000000000000000,,,GA0158073-01,0.002042938306499
-1,1000100012000INC,71.366900000000001,73.376400000000004,12.000000000000000,,,GA1210312-01,0.033940178797826
-1,1215200210900INC,2.246700000000000,2.250700000000000,10.000000000000000,,,GA2150741-01,0.000066832162361
-1,1000100040200INC,121.230400000000003,126.533600000000007,12.000000000000000,,,GA2110205-01,0.090838589039136
-1,1000100000300INC,324.509099999999989,326.495499999999993,11.000000000000000,,,GA3130623-01,0.030753467593100
-1,1113200050503INC,0.000000000000000,0.787900000000000,10.000000000000000,,,GA1130310-01,0.013168063362290
-1,1000100002400INC,204.234700000000004,205.071499999999986,12.000000000000000,,,GA2110147-01,0.012208903799605
-1,1077200030100INC,0.000000000000000,1.307300000000000,10.000000000000000,,,GA0770460-01,0.019646055439566
-1,1000100007800INC,42.911600000000000,44.587699999999998,14.000000000000000,,,GA1630198-01,0.026789222002154
-1,1067200094300INC,2.795100000000000,3.436300000000000,10.000000000000000,,,GA0670999-01,0.009326542392682
-1,1000100040700INC,0.000000000000000,0.842300000000000,12.000000000000000,,,GA1215534-01,0.012450962821171
-1,1000100009200INC,90.509399999999999,92.208200000000005,12.000000000000000,,,GA0570082-01,0.029526922120869
-1,1000100001100INC,333.672700000000020,334.365000000000009,12.000000000000000,,,GA3110109-01,0.010221486613415
-1,1000100000300INC,196.374200000000002,198.602499999999992,12.000000000000000,,,GA2550030-01,0.032868231403992
-1,1135200565100INC,1.574600000000000,1.941400000000000,10.000000000000000,,,GA1350657-01,0.006101448597108
-1,1000100003100INC,125.207499999999996,127.266999999999996,14.000000000000000,,,GA1750101-01,0.030193213148612
-1,1000100006200INC,58.438099999999999,59.278100000000002,12.000000000000000,,,GA0950089-01,0.013044542573933
