OID,RouteId,BeginPoint,EndPoint,MEDIAN_WIDTHVn,MEDIAN_WIDTHVt,MEDIAN_WIDTHVd,MEDIAN_WIDTHComments,Shape_Length
-1,1000100009200INC,86.976799999999997,87.003799999999998,15.000000000000000,,,GA0570078-01,0.000461963132970
-1,1000100012500INC,2.206000000000000,6.298700000000000,20.000000000000000,,,GA1850207-01,0.062724727000722
-1,1000100000300INC,282.159400000000005,282.785799999999995,4.000000000000000,,,GA0150119-01,0.010641098334359
-1,1000100042200INC,3.503600000000000,3.514000000000000,40.000000000000000,,,GA2190260-01,0.000180962724978
-1,1000100040800INC,0.940400000000000,0.960300000000000,85.000000000000000,,,GA0210378-01,0.000288939947961
-1,1000100001100INC,293.269400000000019,293.941399999999987,40.000000000000000,,,GA1570245-01,0.011659687175170
-1,1000100008500INC,7.509800000000000,7.519800000000000,30.000000000000000,,,GA2150167-01,0.000171228670846
-1,1000100040400INC,154.827799999999996,155.189699999999988,66.000000000000000,,,GA0510365-01,0.006040446435324
-1,10001000015ALINC,7.481500000000000,7.653800000000000,35.000000000000000,,,GA0590132-01,0.002744250828532
-1,1000100023200INC,13.922100000000000,14.004899999999999,4.000000000000000,,,GA2450212-01,0.001227761344634
-1,1000100002500INC,45.589399999999998,45.640500000000003,7.000000000000000,,,GA1270121-01,0.000755644906007
-1,1000100005300INC,27.539600000000000,27.797300000000000,25.000000000000000,,,GA1150112-02,0.003947224222107
-1,1000100040300INC,29.942499999999999,29.944600000000001,80.000000000000000,,,GA1990312-01,0.000032146271044
-1,1000100040100INC,224.694700000000012,225.036200000000008,4.000000000000000,,,GA1510412-01,0.005514691480525
-1,1000100002000INC,111.549599999999998,111.629900000000006,15.000000000000000,,,GA1350149-01,0.001181929594231
-1,1000100014100INC,13.580299999999999,13.580900000000000,20.000000000000000,,,GA1350229-01,0.000008931723788
-1,1000100001000INC,22.994900000000001,23.368400000000001,4.000000000000000,,,GA1350052-01,0.006399451660901
-1,1000100010100INC,42.409999999999997,42.468699999999998,5.000000000000000,,,GA1150158-01,0.000919927675947
-1,1000100000300INC,117.187399999999997,118.036400000000000,40.000000000000000,,,GA2490104-01,0.012358824204081
-1,1000100001000INC,42.005899999999997,42.477499999999999,38.000000000000000,,,GA2970003-01,0.008084413635556
-1,1000100054000INC,5.103600000000000,5.318600000000000,55.000000000000000,,,GA2151009-01,0.003390058544283
-1,1000100000100INC,106.332200000000000,109.492999999999995,35.000000000000000,,,GA2590103-01,0.046867778808043
-1,1000100001500INC,276.946500000000015,276.956900000000019,40.000000000000000,,,GA1570141-01,0.000151592214671
-1,1000100031600INC,23.515200000000000,23.703299999999999,35.000000000000000,,,GA0130369-01,0.003173345918705
-1,1000100006000INC,19.019800000000000,19.129999999999999,15.000000000000000,,,GA1390316-01,0.001709805621276
-1,1000100040300INC,149.876100000000008,149.880500000000012,99.000000000000000,,,GA0110138-02,0.000072920904920
-1,1000100015100INC,23.763800000000000,23.901700000000002,9.000000000000000,,,GA0470078-01,0.002064455375609
-1,1000100002100INC,29.704200000000000,29.754300000000001,30.000000000000000,,,GA1030139-01,0.000743703877359
-1,1000100003800INC,231.938799999999986,231.942499999999995,20.000000000000000,,,GA1830114-01,0.000060377295479
-1,1000100040200INC,154.317299999999989,154.336700000000008,67.000000000000000,,,GA3010194-01,0.000334975233631
-1,1000100040100INC,102.971999999999994,103.349000000000004,4.000000000000000,,,GA0810112-02,0.005493707636263
-1,1000100001700INC,8.723200000000000,8.734000000000000,25.000000000000000,,,GA0510111-02,0.000159200508183
-1,1051200169207INC,0.129400000000000,0.455500000000000,34.000000000000000,,,GA0510106-01,0.005371005897473
-1,1000100054000INC,191.179100000000005,193.796600000000012,40.000000000000000,,,GA1630138-01,0.041204486345040
-1,1000100009200INC,94.189599999999999,94.193299999999994,40.000000000000000,,,GA0570084-01,0.000063459777045
-1,1000100040200INC,23.603300000000001,23.713400000000000,55.000000000000000,,,GA0450283-01,0.001911955937804
