9:00:00 (C),,1:795:74:8:33:4:0:10:7:0:1:0:0:0:0,0:854:88:9:31:2:0:13:5:0:0:0:0:0:0,2:699:67:5:10:2:0:0:0:1:0:0:0:0:0,2:756:78:3:20:1:0:3:2:0:0:0:0:0:0
10:00:00 (C),,2:633:89:8:37:4:0:12:8:0:0:0:0:0:0,1:620:72:7:46:1:0:11:5:0:0:0:0:0:0,4:576:90:6:13:1:0:0:3:0:0:0:0:0:0,3:651:110:6:20:4:0:1:1:0:0:0:0:0:0
11:00:00 (C),,1:527:83:4:39:2:0:7:3:0:0:0:0:0:0,3:541:90:10:26:3:0:11:6:0:0:0:0:0:0,4:556:80:3:27:4:0:3:3:0:0:0:0:0:0,4:635:98:6:23:1:0:5:3:0:0:0:0:0:0
12:00:00 (C),,2:678:114:5:24:2:0:2:7:0:0:0:0:0:0,3:716:103:5:27:1:0:7:5:0:0:0:0:0:0,2:705:117:5:20:1:0:3:1:0:0:0:0:0:0,3:696:120:5:17:1:0:3:2:0:0:0:0:0:0
13:00:00 (C),3:731:125:5:30:2:0:10:7:0:0:0:0:0:0,1:781:148:5:30:1:0:29:20:0:0:0:0:0:0,,5:850:107:6:22:0:1:3:1:0:0:0:0:0:0,2:630:96:8:26:1:0:0:1:0:0:0:0:0:0
14:00:00 (C),4:873:145:6:44:6:0:7:7:0:0:0:0:0:0,8:1052:143:14:37:3:0:8:12:0:0:0:0:0:0,,4:922:138:5:29:2:0:1:7:0:0:0:0:0:0,3:886:153:5:27:6:0:7:4:0:0:0:0:0:0
15:00:00 (C),2:1030:129:6:33:2:0:3:1:0:0:0:0:0:0,8:1370:198:16:32:2:0:5:6:0:0:0:0:0:0,,7:1262:157:6:23:9:1:2:8:0:0:0:0:0:0,6:1256:155:6:18:2:0:5:0:0:0:0:0:0:0
16:00:00 (C),3:1466:135:5:35:2:0:7:6:0:0:0:0:0:0,4:1764:183:9:31:2:0:18:10:0:1:0:0:0:0,,8:1341:166:8:16:1:0:3:2:0:0:0:0:0:0,2:1495:144:8:16:3:0:3:2:0:1:0:0:0:0
17:00:00 (C),4:1479:132:7:54:2:0:15:7:0:0:0:0:0:0,5:1745:141:6:63:5:0:17:11:0:0:0:0:0:0,,5:1319:107:10:4:0:0:1:0:0:0:0:0:0:0,2:1507:107:7:9:1:0:0:0:0:0:0:0:0:0
18:00:00 (C),1:1150:84:4:65:1:0:19:10:0:1:0:0:0:0,7:1485:108:5:63:3:0:15:9:0:0:0:0:0:0,,6:1272:82:9:14:1:0:1:3:0:0:0:0:0:0,3:1330:84:7:9:1:0:4:1:0:0:0:0:0:0
19:00:00(C),0:689:53:3:51:1:0:3:3:0:0:0:0:0:0,2:986:59:8:46:0:0:14:5:0:0:0:0:0:0,,11:1116:58:3:6:4:0:0:0:0:0:0:0:0:0,13:984:61:1:6:0:0:1:0:0:0:0:0:0:0
20:00:00 (C),4:577:25:7:18:2:0:2:1:0:0:0:0:0:0,3:683:26:5:21:2:0:3:1:0:0:0:0:0:0,,12:741:40:3:3:0:0:0:0:0:0:0:0:0:0,7:618:33:3:4:0:0:1:0:0:0:0:0:0:0
21:00:00 (C),4:493:26:6:12:4:0:1:0:0:0:0:0:0:0,2:441:17:3:10:1:0:2:0:0:0:0:0:0:0,,4:490:28:1:7:0:0:1:0:0:0:0:0:0:0,9:511:23:2:5:1:0:2:0:0:0:0:0:0:0
22:00:00 (C),1:303:10:2:7:1:0:0:1:0:0:0:0:0:0,1:344:10:2:15:0:0:0:2:0:0:0:0:0:0,,10:424:28:0:1:0:0:1:0:0:0:0:0:0:0,6:333:19:2:3:0:0:1:0:0:0:0:0:0:0
23:00:00 (C),3:234:11:2:3:0:0:2:0:0:0:0:0:0:0,3:281:19:2:7:0:0:0:1:0:0:0:0:0:0,,4:289:13:1:1:0:0:1:0:0:0:0:0:0:0,1:297:16:2:0:0:0:1:0:0:0:0:0:0:0
