,Point,RouteID,AvgMeasure,Road Classification,LANE_WIDTHVn,MEDIAN_TYPEVn,MEDIAN_WIDTHVn,SHOULDER_TYPEVn
102,121-5083,1000100000800INC,68.61,Principal Arterial,11.0,1.0,,3.0
103,121-5084,1000100000800INC,68.61,Principal Arterial,11.0,1.0,,3.0
104,121-0471,1000100001000INC,1.03,Principal Arterial,,,,
105,121-5012,1000100000800INC,68.61,Principal Arterial,11.0,1.0,,3.0
106,121-5582,1121200226003INC,0.52,Principal Arterial,,,,
107,121-5581,1121200226003INC,0.52,Principal Arterial,,,,
108,121-5047,1000100000300INC,238.56,Principal Arterial,,,,
109,121-5049,1000100000300INC,238.56,Principal Arterial,,,,
110,121-5052,1000100000300INC,238.56,Principal Arterial,,,,
111,121-5054,1000100000300INC,238.56,Principal Arterial,,,,
112,121-5078,1000100000800INC,53.835,Principal Arterial,,,,
113,121-5056,1000100000300INC,238.56,Principal Arterial,,,,
